index,detect_ms,n_detections,scene_locked,battery_c
408,152.00,1,true,32.70
409,152.22,1,true,32.70
410,159.27,1,true,32.70
411,157.96,1,true,32.70
412,146.63,1,true,32.70
413,161.08,1,true,32.70
414,154.50,1,true,32.70
415,152.22,1,true,32.70
416,157.96,1,true,32.70
417,166.61,1,true,32.70
418,155.69,1,true,32.70
419,157.45,1,true,32.70
420,153.15,1,true,32.70
421,154.99,1,true,32.70
422,168.26,1,true,32.70
423,157.04,1,true,32.70
424,165.20,1,true,32.70
425,162.77,1,true,32.70
426,171.07,1,true,32.70
427,169.88,1,true,32.70
428,170.60,1,true,32.70
429,177.86,1,true,32.70
430,179.52,1,true,32.70
431,167.55,1,true,32.70
432,166.63,1,true,32.70
433,172.52,1,true,32.70
434,162.48,1,true,32.70
435,172.57,1,true,32.70
436,180.08,1,true,32.70
437,172.76,1,true,32.70
438,170.32,1,true,32.70
439,179.27,1,true,32.70
440,175.13,1,true,32.70
441,161.48,1,true,32.70
442,174.89,1,true,32.70
443,172.37,1,true,32.70
444,174.43,1,true,32.70
445,167.53,1,true,32.70
446,167.69,1,true,32.70
447,163.40,1,true,32.70
448,175.92,1,true,32.70
449,175.70,1,true,32.70
450,168.56,1,true,32.70
451,184.06,1,true,32.70
452,179.15,1,true,32.70
453,177.32,1,true,32.70
454,161.20,1,true,32.70
455,171.08,1,true,32.70
456,169.02,1,true,32.70
457,175.45,1,true,32.70
458,170.93,1,true,32.70
459,170.68,1,true,32.70
460,166.92,1,true,32.70
461,169.73,1,true,32.70
462,173.54,1,true,32.70
463,177.27,1,true,32.70
464,181.13,1,true,32.70
465,170.94,1,true,32.70
466,163.11,1,true,32.70
467,158.13,1,true,32.70
468,164.95,1,true,32.70
469,160.23,1,true,32.70
470,162.18,1,true,32.70
471,140.94,1,true,32.70
472,140.42,1,true,32.70
473,165.46,1,true,32.70
474,169.29,1,true,32.70
475,170.27,1,true,32.70
476,167.65,1,true,32.70
477,183.59,1,true,32.70
478,167.37,1,true,32.70
479,166.42,1,true,32.70
480,165.04,1,true,32.70
481,171.77,1,true,32.70
482,171.62,1,true,32.70
483,160.61,1,true,32.70
484,175.28,1,true,32.70
485,172.34,1,true,32.70
486,163.60,1,true,32.70
487,168.71,1,true,32.70
488,173.61,1,true,32.70
489,170.15,1,true,32.70
490,180.95,1,true,32.70
491,175.62,1,true,32.70
492,167.97,1,true,32.70
493,183.64,1,true,32.70
494,183.89,1,true,32.70
495,171.54,1,true,32.70
496,165.33,1,true,32.70
497,180.15,1,true,32.70
498,167.62,1,true,32.70
499,190.29,1,true,32.70
500,182.56,1,true,32.70
501,162.59,1,true,32.70
502,180.53,1,true,32.70
503,177.57,1,true,32.70
504,181.78,1,true,32.70
505,184.36,1,true,32.70
506,186.29,1,true,32.70
507,192.68,1,true,32.70
508,187.38,1,true,32.70
509,191.20,1,true,32.70
510,174.90,1,true,32.70
511,185.23,1,true,32.70
512,180.09,1,true,32.70
513,172.68,1,true,32.70
514,189.66,1,true,32.70
515,180.20,1,true,32.70
516,189.77,1,true,32.70
517,181.65,1,true,32.70
518,190.03,1,true,32.70
